Date,Close,High,Low,Open,Volume
2012-01-26,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-01-27,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-01-30,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-01-31,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-02-01,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-02-02,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-02-03,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-02-06,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,900
2012-02-07,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-08,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-09,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-10,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-13,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-14,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-15,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-16,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-17,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-21,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-22,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-23,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-24,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-27,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-28,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-02-29,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-01,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-02,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-05,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-06,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-07,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
2012-03-08,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,-6.038407582817709e+34,0
